anio,semana,modelo,nivel,hallazgo,tipo,avisos,puentes,alcance_valido_python,avisos_desconocidos,titulo,fundamento_llm,hechos_fuente,correcto_0_o_1,util_0_a_2,afirmacion_no_respaldada_0_o_1,comentario_revisor,rol_revisor,fecha_revision
2026,29,gpt-5.4,medium,1,same_bridge,800894037|800894057,P-MG11,1,,Repetición de falta de traslación norte-sur en P-MG11,"Ambos avisos de P-MG11 describen el mismo síntoma de traslación norte-sur sin diferencias textuales relevantes, con la misma causa documentada (""Corte de Energía"") y la misma intervención registrada (""se repone atv traslacion""). Esto sugiere repetición del mismo síntoma o posible duplicidad de registro, sin permitir concluir una causa única más allá de lo documentado.",800894037: P-MG11 — sin traslacion norte sur — causa: Corte de Energía || 800894057: P-MG11 — SIN TRASL NORTE SUR — causa: Corte de Energía,,,,,,1-1-0
2026,29,gpt-5.4,medium,2,same_bridge,800894037|800894057|800894097,P-MG11,1,,Incidencias múltiples de traslación en P-MG11,"Los tres avisos de P-MG11 afectan la función de traslación, pero no son idénticos: dos refieren a falta de traslación norte-sur y uno a falta de traslación este/oeste. También difieren las causas documentadas, ya que en 800894037 y 800894057 figura ""Corte de Energía"", mientras que en 800894097 figura ""Falla Componente Electrónico"" con cambio de contactor de línea puente. Hay similitud funcional en el subsistema afectado, pero no evidencia suficiente para afirmar una causa común.",800894037: P-MG11 — sin traslacion norte sur — causa: Corte de Energía || 800894057: P-MG11 — SIN TRASL NORTE SUR — causa: Corte de Energía || 800894097: P-MG11 — sin traslacion este/oeste — causa: Falla Componente Electrónico,,,,,,1-0-0
2026,29,gpt-5.4,medium,3,same_bridge,800893603|800893913,P-MG12,1,,Repetición de falla de izaje en aparejo de 15 tn en P-MG12,"Ambos avisos de P-MG12 refieren al aparejo de 15 tn con pérdida de movimiento de izaje: uno indica que no baja ni sube y el otro que no baja. Las causas documentadas difieren (""Falla Componente Electrónico"" frente a ""Corte de Energía""), pero las intervenciones registradas son cercanas en su lógica, con acciones sobre ATV/variador del malacate. La coincidencia de equipo, capacidad y función sugiere recurrencia del mismo síntoma funcional, aunque no una misma causa confirmada.",800893603: P-MG12 — no baja ni sube aparejo de 15 tn — causa: Falla Componente Electrónico || 800893913: P-MG12 — NO BAJA AP 15 Tn — causa: Corte de Energía,,,,,,1-2-0
2026,29,gpt-5.4,medium,4,cross_bridge,800893603|800893913|800894016|800894078,P-MG12|P-MG13|P-MG21,1,,Síntoma repetido de no subir o bajar en aparejo de 15 tn en varios puentes,"Los avisos de P-MG12, P-MG13 y P-MG21 describen un síntoma muy parecido en el aparejo de 15 tn: imposibilidad de subir y/o bajar. Sin embargo, las causas documentadas no son uniformes, ya que aparecen ""Falla Componente Electrónico"", ""Corte de Energía"" y ""Falla Elemento de Maniobra"". Las intervenciones también varían entre reset o reposición de variador/ATV y normalización en variador. La relación es válida por similitud funcional del síntoma, pero no demuestra un origen común entre puentes.",800893603: P-MG12 — no baja ni sube aparejo de 15 tn — causa: Falla Componente Electrónico || 800893913: P-MG12 — NO BAJA AP 15 Tn — causa: Corte de Energía || 800894016: P-MG13 — No sube aparejo de 15tn.- — causa: Falla Elemento de Maniobra || 800894078: P-MG21 — aparejo de 15 tn no sube ni baja — causa: Falla Componente Electrónico,,,,,,0-1-0 comentario_revisor: el origen de la falla es el mismo para los tres puentes y es el variador.
2026,29,gpt-5.4,medium,5,same_bridge,800892746|800892753,P-MG23,1,,Fallas repetidas de traslación en P-MG23,"Ambos avisos de P-MG23 refieren pérdida de traslación: uno de forma general (""sin traslacion"") y otro específicamente en norte-sur. Las causas documentadas cambian entre ""Falla Componente Electrónico"" y ""Falso Contacto"", y también cambian las intervenciones, una sobre pantógrafos de percha de cola y otra sobre bornera x4.1 de guirnalda. La similitud está en la función afectada, pero los textos no permiten afirmar que se trate de la misma causa.",800892746: P-MG23 — sin traslacion — causa: Falla Componente Electrónico || 800892753: P-MG23 — sin traslacion norte-sur — causa: Falso Contacto,,,,,,1-1-0
2026,29,gpt-5.4,medium,6,same_bridge,800894035|800894073,P-MG41,1,,"Repetición de ""no gira percha"" en P-MG41","Los avisos 800894035 y 800894073 de P-MG41 tienen exactamente la misma descripción (""no gira percha""). Aun así, difieren en la causa documentada, que pasa de ""Corte de Energía"" a ""Falla Componente Electrónico"", y la intervención registrada es distinta en detalle. Esto respalda una repetición clara del mismo síntoma en el mismo puente, sin que el texto permita unificar la causa.",800894035: P-MG41 — no gira percha — causa: Corte de Energía || 800894073: P-MG41 — no gira percha — causa: Falla Componente Electrónico,,,,,,1-1-0
2026,29,gpt-5.4,medium,7,same_bridge,800893199|800894035|800894073,P-MG41,1,,Eventos de giro relacionados en P-MG41,"Los tres avisos de P-MG41 apuntan a funciones de giro, pero con manifestaciones distintas: 800893199 indica que el ECL gira sólo para un lado, mientras que 800894035 y 800894073 indican que la percha no gira. También cambian las causas documentadas, entre ""Falso Contacto"", ""Corte de Energía"" y ""Falla Componente Electrónico"", y las intervenciones van desde normalización de cables desoldados hasta reposición vinculada a ATV de giros. La relación es funcional, no concluyente en términos causales.",800893199: P-MG41 — ECL gira solo para un lado — causa: Falso Contacto || 800894035: P-MG41 — no gira percha — causa: Corte de Energía || 800894073: P-MG41 — no gira percha — causa: Falla Componente Electrónico,,,,,,1-1-0
2026,29,gpt-5.4,medium,8,same_bridge,800893830|800893897,P-MG43,1,,Repetición de falla de picador en P-MG43,"Ambos avisos de P-MG43 describen indisponibilidad del picador con textos equivalentes en la práctica (""No anda picador"" y ""no pica""). Las causas documentadas difieren entre ""Desgaste"" y ""Fatiga Material"", pero en ambos casos la intervención menciona cambio de válvula de picador. La coincidencia de síntoma y del componente intervenido sugiere relación fuerte entre ambos registros, aunque no permite concluir un único mecanismo de falla.",800893830: P-MG43 — No anda picador. — causa: Desgaste || 800893897: P-MG43 — no pica — causa: Fatiga Material,,,,,,1-2-0
2026,29,gpt-5.4,medium,9,cross_bridge,800893487|800893830|800893897|800893962,P-MG12|P-MG23|P-MG43,1,,Síntomas de picador repetidos en distintos puentes,"En P-MG12, P-MG23 y P-MG43 aparecen avisos que mencionan el picador, pero con síntomas diferentes: ""No gira el picador"", ""SIN FUERZA PICADOR"", ""No anda picador"" y ""no pica"". También son diferentes las causas documentadas (""Falso Contacto"", ""Lubricación Faltante"", ""Desgaste"" y ""Fatiga Material"") y las intervenciones registradas, que incluyen acción sobre ATV de giros, agregado de aceite a compresor y cambio de válvula. La relación entre puentes es sólo preliminar por coincidencia de función nombrada.",800893487: P-MG23 — SIN FUERZA PICADOR(OKTD) — causa: Lubricación Faltante || 800893830: P-MG43 — No anda picador. — causa: Desgaste || 800893897: P-MG43 — no pica — causa: Fatiga Material || 800893962: P-MG12 — No gira el picador — causa: Falso Contacto,,,,,,1-2-0
2026,36,gpt-5.4,medium,1,same_bridge,800895682|800896003|800896049|800898856|800901300|800903828|800904184,P-MG21,1,,Reiteración en aparejo de 15 TN en P-MG21,"En P-MG21 se repiten avisos sobre imposibilidad de bajar o subir el aparejo de 15 TN. En la semana 36 aparecen tanto “NO BAJA AP 15 Tn” como “no sube aparejo 15tn”, y en semanas previas hay descripciones muy similares del mismo movimiento. Las causas documentadas no son uniformes: predominan “Falla Componente Electrónico”, pero también figuran “Falso Contacto” y “Circuito Abierto-Sin Continuidad”. Las intervenciones también varían entre reinicios y reposiciones de variador, por lo que la coincidencia es fuerte en el síntoma y la función afectada, no en una causa única demostrada.",800895682: P-MG21 — no baja ni sube aparejo de 15 tn — causa: Falla Componente Electrónico || 800896003: P-MG21 — no baja ni sube aparejo de 15tn — causa: Falla Componente Electrónico || 800896049: P-MG21 — No sube ni baja aparejo.- — causa: Falla Componente Electrónico || 800898856: P-MG21 — No baja aparejo 15 TN — causa: Falso Contacto || 800901300: P-MG21 — no baja aparejo 15tn — causa: Circuito Abierto-Sin Continuidad || 800903828: P-MG21 — NO BAJA AP 15 Tn — causa: Falla Componente Electrónico || 800904184: P-MG21 — no sube aparejo 15tn — causa: Falla Componente Electrónico,,,,,,1-2-0
