anio,semana,modelo,nivel,hallazgo,tipo,avisos,puentes,alcance_valido_python,avisos_desconocidos,titulo,fundamento_llm,hechos_fuente,correcto_0_o_1,util_0_a_2,afirmacion_no_respaldada_0_o_1,comentario_revisor,rol_revisor,fecha_revision
2026,29,gpt-5.4-nano,medium,1,same_bridge,800894037|800894057,P-MG11,1,,Traslación Norte-Sur sin movimiento: Corte de Energía y reposición de ATV,Ambos avisos corresponden al mismo equipo (P-MG11) y describen el mismo síntoma operativo: “sin traslacion norte sur / SIN TRASL NORTE SUR”. En los dos casos la causa documentada es “Corte de Energía” y la intervención registrada es “se repone atv traslacion”. No se observan diferencias relevantes en causa/intervención que indiquen patrones distintos.,800894037: P-MG11 — sin traslacion norte sur — causa: Corte de Energía || 800894057: P-MG11 — SIN TRASL NORTE SUR — causa: Corte de Energía,,,,,,1-2-0
2026,29,gpt-5.4-nano,medium,2,same_bridge,800893603|800893913,P-MG12,1,,Izaje (malacate 15 tn): no baja/no baja sin movimiento con resets ATV (causas distintas),"Ambos avisos son del mismo equipo (P-MG12) y reportan fallas del izaje/malacate: “no baja ni sube aparejo de 15 tn” (800893603) y “NO BAJA AP 15 Tn” (800893913). Aunque comparten el marco de intervención tipo reset del ATV (800893603: “Reset de ATV: condensador precarga”; 800893913: “se resetea atv de malacate”), las causas documentadas difieren: 800893603 “Falla Componente Electrónico” vs. 800893913 “Corte de Energía”. Esto sugiere similitud del síntoma pero no evidencia documental de una causa única.",800893603: P-MG12 — no baja ni sube aparejo de 15 tn — causa: Falla Componente Electrónico || 800893913: P-MG12 — NO BAJA AP 15 Tn — causa: Corte de Energía,,,,,,1-1-0
2026,29,gpt-5.4-nano,medium,3,same_bridge,800893199|800894035|800894073,P-MG41,1,,Giro de percha/ECL: fallas de rotación (no gira o gira solo para un lado) con causas diferentes,"Los tres avisos pertenecen al mismo equipo (P-MG41) y describen fallas de giro asociadas a percha/ECL: “ECL gira solo para un lado” (800893199) y “no gira percha” (800894035 y 800894073). Las causas documentadas no coinciden: 800893199 “Falso Contacto”, 800894035 “Corte de Energía”, 800894073 “Falla Componente Electrónico”. La intervención también varía (normalización de cables desoldado en CR; reposición de ATV giros; “se repone”). La relación es válida por la equivalencia del subsistema afectado (giro), pero no permite afirmar una causa común.",800893199: P-MG41 — ECL gira solo para un lado — causa: Falso Contacto || 800894035: P-MG41 — no gira percha — causa: Corte de Energía || 800894073: P-MG41 — no gira percha — causa: Falla Componente Electrónico,,,,,,1-1-0
2026,29,gpt-5.4-nano,medium,4,cross_bridge,800893192|800893272|800894016|800894078,P-MG11|P-MG13|P-MG21|P-MG43,1,,"Izaje sin baja/no sube aparejo o percha (malacate/percha): múltiples puentes, causas documentadas distintas","Se observan fallas del izaje reportadas en puentes distintos: P-MG11 “No baja ni sube la percha-OKTB” (800893192), P-MG13 “No sube aparejo de 15tn” (800894016), P-MG21 “aparejo de 15 tn no sube ni baja” (800894078) y P-MG43 “NO BAJA ALMEJA” (800893272). En todos los casos el síntoma involucra incapacidad de izaje (no baja y/o no sube). Sin embargo, las causas documentadas difieren entre avisos (p.ej., 800893192 “Falso Contacto”; 800894016 “Falla Elemento de Maniobra”; 800894078 “Falla Componente Electrónico”; 800893272 “Corte de Energía”). Por lo tanto, la comparación aporta un patrón funcional repetido, sin confirmar causalidad común.",800893192: P-MG11 — No baja ni sube la percha-OKTB — causa: Falso Contacto || 800893272: P-MG43 — NO BAJA ALMEJA — causa: Corte de Energía || 800894016: P-MG13 — No sube aparejo de 15tn.- — causa: Falla Elemento de Maniobra || 800894078: P-MG21 — aparejo de 15 tn no sube ni baja — causa: Falla Componente Electrónico,,,,,,1-1-0
2026,29,gpt-5.4-nano,medium,5,cross_bridge,800892746|800892753|800894097,P-MG11|P-MG23,1,,Traslación sin movimiento en ejes (sin traslación / norte-sur / este-oeste) en distintos puentes,"Entre equipos diferentes (P-MG11 y P-MG23) se repiten fallas de traslación: P-MG11 “sin traslacion este/oeste” (800894097), P-MG23 “sin traslacion” (800892746) y P-MG23 “sin traslacion norte-sur” (800892753). Aunque el eje afectado no es idéntico (este/oeste vs. general vs. norte-sur), el componente funcional comprometido es el mismo (traslación). Las causas documentadas no coinciden: 800894097 “Falla Componente Electrónico”, 800892746 “Falla Componente Electrónico”, 800892753 “Falso Contacto”. Esta evidencia sugiere un patrón de fallas del sistema de traslación, pero no una causa única.",800892746: P-MG23 — sin traslacion — causa: Falla Componente Electrónico || 800892753: P-MG23 — sin traslacion norte-sur — causa: Falso Contacto || 800894097: P-MG11 — sin traslacion este/oeste — causa: Falla Componente Electrónico,,,,,,1-1-0
2026,29,gpt-5.4-nano,medium,6,cross_bridge,800893487|800893830|800893897,P-MG23|P-MG43,1,,Picador sin acción / sin fuerza / no pica: lubricación faltante vs. desgaste/fatiga (válvulas),"En distintos puentes (P-MG23 y P-MG43) aparecen fallas del picador con síntoma funcional equivalente: “SIN FUERZA PICADOR(OKTD)” (800893487) y “No anda picador” (800893830) / “no pica” (800893897). Las causas documentadas e intervenciones difieren: 800893487 “Lubricación Faltante” (se coloca aceite a compresor) mientras que 800893830 es “Desgaste” y reporta cambio de “valvula Jefferson de picador”; 800893897 es “Fatiga Material” con “se cambia valvula de picador”. La comparación es útil por la recurrencia del subsistema (picador), sin demostrar una causa común.",800893487: P-MG23 — SIN FUERZA PICADOR(OKTD) — causa: Lubricación Faltante || 800893830: P-MG43 — No anda picador. — causa: Desgaste || 800893897: P-MG43 — no pica — causa: Fatiga Material,,,,,,1-1-0
2026,29,gpt-5.4-mini,medium,1,same_bridge,800894037|800894057,P-MG11,1,,Reiteración de pérdida de traslación norte-sur en P-MG11,"Ambos avisos pertenecen al mismo equipo P-MG11 y describen la misma indisponibilidad de traslación norte-sur. También coinciden en la causa documentada ('Corte de Energía') y en la intervención ('se repone atv traslacion'). La coincidencia es fuerte y sugiere repetición del mismo síntoma en la misma semana, aunque el texto no permite distinguir si fue un reingreso del mismo evento o dos fallas separadas.",800894037: P-MG11 — sin traslacion norte sur — causa: Corte de Energía || 800894057: P-MG11 — SIN TRASL NORTE SUR — causa: Corte de Energía,,,,,,1-2-0
2026,29,gpt-5.4-mini,medium,2,same_bridge,800893603|800893913,P-MG12,1,,Reiteración de falla de izaje/aparejo 15 tn en P-MG12,"Los dos registros corresponden a P-MG12 y afectan la misma función de izaje: uno indica 'no baja ni sube aparejo de 15 tn' y el otro 'NO BAJA AP 15 Tn'. Aunque la causa documentada cambia entre 'Falla Componente Electrónico' y 'Corte de Energía', ambos se resuelven con acciones sobre el ATV/malacate, lo que hace útil compararlos como repetición del mismo síntoma en el mismo puente.",800893603: P-MG12 — no baja ni sube aparejo de 15 tn — causa: Falla Componente Electrónico || 800893913: P-MG12 — NO BAJA AP 15 Tn — causa: Corte de Energía,,,,,,1-2-0
2026,29,gpt-5.4-mini,medium,3,same_bridge,800894035|800894073,P-MG41,1,,Reiteración de no giro de percha en P-MG41,"Ambos avisos son de P-MG41 y expresan el mismo síntoma funcional: 'no gira percha'. Las causas documentadas difieren ('Corte de Energía' y 'Falla Componente Electrónico'), pero en los dos casos la intervención se centra en el sistema de giro/ATV. La comparación aporta valor porque muestra recurrencia del mismo problema en el mismo equipo con documentación causal no uniforme.",800894035: P-MG41 — no gira percha — causa: Corte de Energía || 800894073: P-MG41 — no gira percha — causa: Falla Componente Electrónico,,,,,,1-2-0
2026,29,gpt-5.4-mini,medium,4,cross_bridge,800893603|800893913|800894016|800894078,P-MG12|P-MG13|P-MG21,1,,"Falla recurrente de izaje/aparejo 15 tn entre P-MG12, P-MG13 y P-MG21","Los avisos provienen de equipos distintos (P-MG12, P-MG13 y P-MG21) y todos describen pérdida de la función de izaje/aparejo: 'no baja ni sube aparejo de 15 tn', 'NO BAJA AP 15 Tn', 'No sube aparejo de 15tn.' y 'aparejo de 15 tn no sube ni baja'. Las causas documentadas no coinciden del todo ('Falla Componente Electrónico', 'Corte de Energía' y 'Falla Elemento de Maniobra'), pero las intervenciones apuntan repetidamente al variador/ATV. Esto sugiere una relación técnica útil para revisar la cadena de mando del izaje en varios puentes, sin afirmar una causa común única.",800893603: P-MG12 — no baja ni sube aparejo de 15 tn — causa: Falla Componente Electrónico || 800893913: P-MG12 — NO BAJA AP 15 Tn — causa: Corte de Energía || 800894016: P-MG13 — No sube aparejo de 15tn.- — causa: Falla Elemento de Maniobra || 800894078: P-MG21 — aparejo de 15 tn no sube ni baja — causa: Falla Componente Electrónico,,,,,,1-2-0
