anio,semana,modelo,nivel,hallazgo,tipo,avisos,puentes,alcance_valido_python,avisos_desconocidos,titulo,fundamento_llm,hechos_fuente,correcto_0_o_1,util_0_a_2,afirmacion_no_respaldada_0_o_1,comentario_revisor,rol_revisor,fecha_revision
2026,29,gpt-5.4-nano,medium,1,same_bridge,800894037|800894057,P-MG11,1,,Traslación norte-sur sin movimiento repetida (mismo síntoma y causa documentada) en P-MG11,"En P-MG11 (serie A, room 1) se registran dos avisos con descripción prácticamente idéntica: “sin traslacion norte sur” / “SIN TRASL NORTE SUR”. En ambos casos la causa documentada figura como “Corte de Energía” y la intervención registrada es “se repone atv traslacion”. No se informan diferencias de componente ni de subsistema dentro de los textos provistos.",800894037: P-MG11 — sin traslacion norte sur — causa: Corte de Energía || 800894057: P-MG11 — SIN TRASL NORTE SUR — causa: Corte de Energía,,,,,,
2026,29,gpt-5.4-nano,medium,2,same_bridge,800893603|800893913,P-MG12,1,,Fallas de izaje del aparejo 15 tn con recuperación por ATVs (P-MG12),"En P-MG12 (room 1, serie A) se reportan dos fallas relacionadas al izaje del aparejo: 800893603 (“no baja ni sube aparejo de 15 tn”) con causa documentada “Falla Componente Electrónico” e intervención “Reset de ATV: condensador precarga”; y 800893913 (“NO BAJA AP 15 Tn”) con causa documentada “Corte de Energía” e intervención “se resetea atv de malacate”. Comparten el síntoma funcional de falta de movimiento en el izaje del aparejo, pero las causas documentadas difieren (electrónica vs. corte de energía).",800893603: P-MG12 — no baja ni sube aparejo de 15 tn — causa: Falla Componente Electrónico || 800893913: P-MG12 — NO BAJA AP 15 Tn — causa: Corte de Energía,,,,,,
2026,29,gpt-5.4-nano,medium,3,same_bridge,800893319|800894016,P-MG13,1,,Falta de movimiento en P-MG13: un caso de “SIN MOVIMIENTO” y otro de izaje no operativo,"En P-MG13 (room 1, serie A) aparecen dos eventos con vínculo funcional general (“sin movimiento” vs. “No sube aparejo de 15tn.-”). 800893319 (“SIN MOVIMIENTO”) tiene causa documentada “Aflojamiento” e intervención “se posicionan bien las herramientas, ok”. 800894016 (“No sube aparejo de 15tn.-”) tiene causa documentada “Falla Elemento de Maniobra” e intervención “Se normaliza falla en variador (condens)”. Aunque ambos afectan operación/funcionamiento del puente, los textos documentan causas e intervenciones distintas.",800893319: P-MG13 — SIN MOVIMIENTO — causa: Aflojamiento || 800894016: P-MG13 — No sube aparejo de 15tn.- — causa: Falla Elemento de Maniobra,,,,,,
2026,29,gpt-5.4-nano,medium,4,same_bridge,800892746|800892753,P-MG23,1,,Traslación sin movimiento en P-MG23 con causas distintas (electrónica vs falso contacto),"En P-MG23 (room 2, serie A) se registran: 800892746 (“sin traslacion”) con causa documentada “Falla Componente Electrónico” e intervención “Se acomoda pantógrafos de percha de cola, OK.”, y 800892753 (“sin traslacion norte-sur”) con causa documentada “Falso Contacto” e intervención “Se reajusta bornera x4.1 de guirnalda... OK.”. En ambos casos el síntoma es traslación sin movimiento (con detalle direccional en uno), pero las causas documentadas y acciones correctivas difieren (pantógrafos vs bornera/guirnalda).",800892746: P-MG23 — sin traslacion — causa: Falla Componente Electrónico || 800892753: P-MG23 — sin traslacion norte-sur — causa: Falso Contacto,,,,,,
2026,29,gpt-5.4-nano,medium,5,same_bridge,800894035|800894073,P-MG41,1,,No gira percha en P-MG41 por corte de energía vs falla de componente electrónico,"En P-MG41 (room 4, serie B) se repite el mismo síntoma: “no gira percha” en 800894035 y 800894073. Sin embargo, las causas documentadas difieren: 800894035 indica “Corte de Energía” con intervención “se repone atv giros, se deja ok”; mientras que 800894073 indica “Falla Componente Electrónico” con intervención “se repone”. Al compartir el síntoma, podría haber relación funcional, pero los textos no confirman un mismo origen eléctrico/contactor/variador.",800894035: P-MG41 — no gira percha — causa: Corte de Energía || 800894073: P-MG41 — no gira percha — causa: Falla Componente Electrónico,,,,,,
2026,29,gpt-5.4-nano,medium,6,same_bridge,800893830|800893897,P-MG43,1,,Picador / “no pica” repetido en P-MG43 con cambio de válvula,"En P-MG43 (room 4, serie B) aparecen dos eventos de falla del picador: 800893830 (“No anda picador.”) con causa documentada “Desgaste” e intervención “Se cambia valvula Jefferson de picador, se prueba...”; y 800893897 (“no pica”) con causa documentada “Fatiga Material” e intervención “se cambia valvula de picador”. Los textos muestran un patrón de corrección mediante cambio de válvula y un síntoma común del picador, aunque el motivo/causa documentada (desgaste vs fatiga) no es el mismo.",800893830: P-MG43 — No anda picador. — causa: Desgaste || 800893897: P-MG43 — no pica — causa: Fatiga Material,,,,,,
2026,29,gpt-5.4-nano,medium,7,cross_bridge,800893272|800893913|800894035|800894037,P-MG11|P-MG12|P-MG41|P-MG43,1,,“Corte de Energía” reportado como causa en distintos subsistemas del puente (múltiples equipos),"Se observa la misma causa documentada “Corte de Energía” en distintos equipos y subsistemas: 800894037 (P-MG11) para “sin traslacion norte sur”, 800893913 (P-MG12) para “NO BAJA AP 15 Tn”, 800894035 (P-MG41) para “no gira percha”, y 800893272 (P-MG43) para “NO BAJA ALMEJA”. En los textos, la intervención típica es “se repone/reset” del ATV asociado al modo afectado, pero los documentos no permiten confirmar que sea el mismo componente o circuito entre puentes.",800893272: P-MG43 — NO BAJA ALMEJA — causa: Corte de Energía || 800893913: P-MG12 — NO BAJA AP 15 Tn — causa: Corte de Energía || 800894035: P-MG41 — no gira percha — causa: Corte de Energía || 800894037: P-MG11 — sin traslacion norte sur — causa: Corte de Energía,,,,,,
2026,29,gpt-5.4-nano,medium,8,cross_bridge,800892753|800893192|800893199,P-MG11|P-MG23|P-MG41,1,,Eventos con causa documentada “Falso Contacto” asociados a problemas de movimiento,"Hay múltiples avisos con causa documentada “Falso Contacto” en distintos puentes: 800893192 (P-MG11) “No baja ni sube la percha-OKTB” (intervención: “se repone falla no rearmable atvMalacate”); 800892753 (P-MG23) “sin traslacion norte-sur” (intervención: “Se reajusta bornera x4.1 de guirnalda...”); y 800893199 (P-MG41) “ECL gira solo para un lado” (intervención: “Se normalizan cables desoldado en CR.”). Comparten la etiqueta de causa, pero el síntoma y las acciones correctivas difieren (contactos/borneras/cables vs circuito específico).",800892753: P-MG23 — sin traslacion norte-sur — causa: Falso Contacto || 800893192: P-MG11 — No baja ni sube la percha-OKTB — causa: Falso Contacto || 800893199: P-MG41 — ECL gira solo para un lado — causa: Falso Contacto,,,,,,
2026,29,gpt-5.4-nano,medium,9,cross_bridge,800893272|800893603|800893913|800894016|800894078,P-MG12|P-MG13|P-MG21|P-MG43,1,,"Izaje no operativo de aparejo 15 tn en varios equipos (síntoma común, causas documentadas variables)","En varios puentes se repite el síntoma de izaje no operativo del aparejo/almeja: 800893603 (P-MG12) “no baja ni sube aparejo de 15 tn” con causa “Falla Componente Electrónico”; 800893913 (P-MG12) “NO BAJA AP 15 Tn” con causa “Corte de Energía”; 800894078 (P-MG21) “aparejo de 15 tn no sube ni baja” con causa “Falla Componente Electrónico”; 800894016 (P-MG13) “No sube aparejo de 15tn.-” con causa “Falla Elemento de Maniobra”; y 800893272 (P-MG43) “NO BAJA ALMEJA” con causa “Corte de Energía”. El texto sugiere un patrón funcional del izaje, pero no confirma una causa común dado que las causas documentadas son diferentes.",800893272: P-MG43 — NO BAJA ALMEJA — causa: Corte de Energía || 800893603: P-MG12 — no baja ni sube aparejo de 15 tn — causa: Falla Componente Electrónico || 800893913: P-MG12 — NO BAJA AP 15 Tn — causa: Corte de Energía || 800894016: P-MG13 — No sube aparejo de 15tn.- — causa: Falla Elemento de Maniobra || 800894078: P-MG21 — aparejo de 15 tn no sube ni baja — causa: Falla Componente Electrónico,,,,,,
2026,29,gpt-5.4-nano,medium,10,cross_bridge,800893603|800894016|800894035|800894037,P-MG11|P-MG12|P-MG13|P-MG41,1,,"Intervenciones tipo “reset/reponer ATV/variador” tras fallas de movimiento (acción correctiva recurrente, causa no confirmada)","Existen intervenciones similares de recuperación mediante reset/reposición de electrónica de control/ATV/variador asociadas a fallas de movimiento: 800894037 (P-MG11) “se repone atv traslacion”; 800893603 (P-MG12) “Reset de ATV: condensador precarga”; 800894035 (P-MG41) “se repone atv giros, se deja ok”; y 800894016 (P-MG13) “Se normaliza falla en variador (condens)”. Aunque la maniobra correctiva se repite, los textos no demuestran que sea el mismo origen del problema entre puentes (las causas documentadas difieren entre avisos).",800893603: P-MG12 — no baja ni sube aparejo de 15 tn — causa: Falla Componente Electrónico || 800894016: P-MG13 — No sube aparejo de 15tn.- — causa: Falla Elemento de Maniobra || 800894035: P-MG41 — no gira percha — causa: Corte de Energía || 800894037: P-MG11 — sin traslacion norte sur — causa: Corte de Energía,,,,,,
