anio,semana,modelo,nivel,hallazgo,tipo,avisos,correcto_0_o_1,util_0_a_2,omitio_relacion_relevante_0_o_1,afirmacion_no_respaldada_0_o_1,comentario_revisor,revisor,fecha_revision
2026,29,gpt-5.4-nano,medium,1,same_bridge,800894037|800894057,,,,,,,
2026,29,gpt-5.4-nano,medium,2,same_bridge,800893603|800893913,,,,,,,
2026,29,gpt-5.4-nano,medium,3,same_bridge,800893319|800894016,,,,,,,
2026,29,gpt-5.4-nano,medium,4,same_bridge,800892746|800892753,,,,,,,
2026,29,gpt-5.4-nano,medium,5,same_bridge,800894035|800894073,,,,,,,
2026,29,gpt-5.4-nano,medium,6,same_bridge,800893830|800893897,,,,,,,
2026,29,gpt-5.4-nano,medium,7,cross_bridge,800893272|800893913|800894035|800894037,,,,,,,
2026,29,gpt-5.4-nano,medium,8,cross_bridge,800892753|800893192|800893199,,,,,,,
2026,29,gpt-5.4-nano,medium,9,cross_bridge,800893272|800893603|800893913|800894016|800894078,,,,,,,
2026,29,gpt-5.4-nano,medium,10,cross_bridge,800893603|800894016|800894035|800894037,,,,,,,
2026,29,gpt-5.4-mini,medium,1,same_bridge,800894037|800894057,,,,,,,
2026,29,gpt-5.4-mini,medium,2,same_bridge,800893603|800893913,,,,,,,
2026,29,gpt-5.4-mini,medium,3,same_bridge,800892746|800892753,,,,,,,
2026,29,gpt-5.4-mini,medium,4,same_bridge,800893199|800894035|800894073,,,,,,,
2026,29,gpt-5.4-mini,medium,5,same_bridge,800893830|800893897,,,,,,,
2026,29,gpt-5.4-mini,medium,6,cross_bridge,800893192|800893272|800893603|800893913|800894016|800894078,,,,,,,
2026,29,gpt-5.4-mini,medium,7,cross_bridge,800892746|800892753|800894035|800894073|800894097,,,,,,,
2026,29,gpt-5.4,medium,1,same_bridge,800894037|800894057,,,,,,,
2026,29,gpt-5.4,medium,2,same_bridge,800894037|800894057|800894097,,,,,,,
2026,29,gpt-5.4,medium,3,same_bridge,800893603|800893913,,,,,,,
2026,29,gpt-5.4,medium,4,cross_bridge,800893603|800893913|800894016|800894078,,,,,,,
2026,29,gpt-5.4,medium,5,same_bridge,800892746|800892753,,,,,,,
2026,29,gpt-5.4,medium,6,same_bridge,800894035|800894073,,,,,,,
2026,29,gpt-5.4,medium,7,same_bridge,800893199|800894035|800894073,,,,,,,
2026,29,gpt-5.4,medium,8,same_bridge,800893830|800893897,,,,,,,
2026,29,gpt-5.4,medium,9,cross_bridge,800893487|800893830|800893897|800893962,,,,,,,
2026,36,gpt-5.4-nano,medium,1,cross_bridge,800903646|800903895|800903896|800904089|800904108,,,,,,,
2026,36,gpt-5.4-nano,medium,2,cross_bridge,800904416|800904432|800904550|800904616,,,,,,,
2026,36,gpt-5.4-nano,medium,3,cross_bridge,800894914|800898525|800904100,,,,,,,
2026,36,gpt-5.4-nano,medium,4,same_bridge,800895684|800896941|800897638|800898647|800903511,,,,,,,
2026,36,gpt-5.4-nano,medium,5,same_bridge,800903224|800903301,,,,,,,
2026,36,gpt-5.4-nano,medium,6,same_bridge,800897951|800903711,,,,,,,
2026,36,gpt-5.4-nano,medium,7,same_bridge,800902407|800904089,,,,,,,
2026,36,gpt-5.4-nano,medium,8,same_bridge,800895682|800897619|800903828|800904184,,,,,,,
2026,36,gpt-5.4-nano,medium,9,cross_bridge,800903196|800903649|800904153|800904528|800904560,,,,,,,
2026,36,gpt-5.4-mini,medium,1,same_bridge,800895684|800895701|800896006|800896632|800896729|800896941|800897118|800897638|800899192|800899848|800901907|800903016,,,,,,,
2026,36,gpt-5.4-mini,medium,2,same_bridge,800895682|800896003|800896049|800898856|800901300|800901555|800903828|800904011|800904184|800904416,,,,,,,
2026,36,gpt-5.4-mini,medium,3,same_bridge,800896109|800897009|800899897|800900089|800902784|800904550,,,,,,,
2026,36,gpt-5.4-mini,medium,4,same_bridge,800898766|800898886|800898956|800900276,,,,,,,
2026,36,gpt-5.4-mini,medium,5,same_bridge,800898730|800899610|800899638|800904152,,,,,,,
2026,36,gpt-5.4-mini,medium,6,cross_bridge,800895684|800896632|800901499|800901717|800902249|800902407|800903646|800904089,,,,,,,
2026,36,gpt-5.4-mini,medium,7,cross_bridge,800896151|800897453|800898608|800901300|800901625|800903141|800903828|800904416,,,,,,,
2026,36,gpt-5.4-mini,medium,8,cross_bridge,800896874|800897461|800898766|800899125|800900061|800901930|800904015,,,,,,,
2026,36,gpt-5.4-mini,medium,9,cross_bridge,800895874|800901716|800902124|800902275|800903885|800903924|800904663,,,,,,,
2026,36,gpt-5.4-mini,medium,10,cross_bridge,800896941|800897871|800898931|800903016|800903196|800904153|800904560,,,,,,,
2026,36,gpt-5.4,medium,1,same_bridge,800895682|800896003|800896049|800898856|800901300|800903828|800904184,,,,,,,
2026,36,gpt-5.4,medium,2,same_bridge,800897424|800897739|800903117|800903187|800903511,,,,,,,
2026,36,gpt-5.4,medium,3,same_bridge,800901642|800901902|800903646,,,,,,,
2026,36,gpt-5.4,medium,4,same_bridge,800902407|800904089,,,,,,,
2026,36,gpt-5.4,medium,5,same_bridge,800896655|800898730|800899610|800899638|800904152,,,,,,,
2026,36,gpt-5.4,medium,6,same_bridge,800901625|800904614,,,,,,,
2026,36,gpt-5.4,medium,7,same_bridge,800897951|800903711,,,,,,,
2026,36,gpt-5.4,medium,8,same_bridge,800903057|800903224|800903301,,,,,,,
2026,36,gpt-5.4,medium,9,same_bridge,800897004|800904460,,,,,,,
2026,36,gpt-5.4,medium,10,cross_bridge,800903828|800904264|800904416|800904614,,,,,,,
2026,36,gpt-5.4,medium,11,cross_bridge,800903646|800903896|800904089,,,,,,,
2026,36,gpt-5.4,medium,12,cross_bridge,800903702|800904269,,,,,,,
