anio,semana,modelo,nivel,hallazgo,tipo,avisos,correcto_0_o_1,util_0_a_2,omitio_relacion_relevante_0_o_1,afirmacion_no_respaldada_0_o_1,comentario_revisor,revisor,fecha_revision
2026,29,gpt-5.4-nano,medium,1,same_bridge,800894037|800894057,,,,,,,
2026,29,gpt-5.4-nano,medium,2,same_bridge,800893603|800893913,,,,,,,
2026,29,gpt-5.4-nano,medium,3,same_bridge,800893199|800894035|800894073,,,,,,,
2026,29,gpt-5.4-nano,medium,4,cross_bridge,800893192|800893272|800894016|800894078,,,,,,,
2026,29,gpt-5.4-nano,medium,5,cross_bridge,800892746|800892753|800894097,,,,,,,
2026,29,gpt-5.4-nano,medium,6,cross_bridge,800893487|800893830|800893897,,,,,,,
2026,29,gpt-5.4-mini,medium,1,same_bridge,800894037|800894057,,,,,,,
2026,29,gpt-5.4-mini,medium,2,same_bridge,800893603|800893913,,,,,,,
2026,29,gpt-5.4-mini,medium,3,same_bridge,800894035|800894073,,,,,,,
2026,29,gpt-5.4-mini,medium,4,cross_bridge,800893603|800893913|800894016|800894078,,,,,,,
2026,29,gpt-5.4,medium,1,same_bridge,800894037|800894057|800894097,,,,,,,
2026,29,gpt-5.4,medium,2,same_bridge,800893603|800893913,,,,,,,
2026,29,gpt-5.4,medium,3,same_bridge,800892746|800892753,,,,,,,
2026,29,gpt-5.4,medium,4,same_bridge,800893199|800894035|800894073,,,,,,,
2026,29,gpt-5.4,medium,5,same_bridge,800893830|800893897,,,,,,,
2026,29,gpt-5.4,medium,6,cross_bridge,800893603|800894016|800894078,,,,,,,
2026,29,gpt-5.4,medium,7,cross_bridge,800893459|800894036,,,,,,,
2026,36,gpt-5.4-nano,medium,1,same_bridge,800903224|800903301,,,,,,,
2026,36,gpt-5.4-nano,medium,2,same_bridge,800901642|800903646,,,,,,,
2026,36,gpt-5.4-nano,medium,3,same_bridge,800903895|800904694,,,,,,,
2026,36,gpt-5.4-nano,medium,4,same_bridge,800903828|800904184,,,,,,,
2026,36,gpt-5.4-nano,medium,5,same_bridge,800903196|800904528,,,,,,,
2026,36,gpt-5.4-nano,medium,6,same_bridge,800903711|800904569,,,,,,,
2026,36,gpt-5.4-nano,medium,7,cross_bridge,800903896|800904089,,,,,,,
2026,36,gpt-5.4-mini,medium,1,same_bridge,800895684|800896632|800896729|800896941|800897638|800901907|800903016,,,,,,,
2026,36,gpt-5.4-mini,medium,2,cross_bridge,800895682|800897453|800898608|800901625|800903828|800904264|800904416|800904614,,,,,,,
2026,36,gpt-5.4,medium,1,same_bridge,800903057|800903224|800903301,,,,,,,
2026,36,gpt-5.4,medium,2,same_bridge,800897638|800899192|800899848|800901907|800903016|800904694,,,,,,,
2026,36,gpt-5.4,medium,3,same_bridge,800896003|800896049|800898856|800901300|800903828|800904184,,,,,,,
2026,36,gpt-5.4,medium,4,same_bridge,800895061|800895285|800898730|800899610|800899638|800904152,,,,,,,
2026,36,gpt-5.4,medium,5,same_bridge,800896204|800896368|800898939|800902092|800903896|800904560,,,,,,,
2026,36,gpt-5.4,medium,6,cross_bridge,800903646|800903896|800904089,,,,,,,
2026,36,gpt-5.4,medium,7,cross_bridge,800903828|800904184|800904264|800904416|800904614,,,,,,,
